Date,Open,High,Low,Close,Volume
2021-01-28,282.866,286.814,282.054,283.737,1444351.5556197
2021-01-29,280.401,280.411,273.92,277.512,1713588.8108491
2021-02-01,279.283,284.806,278.492,283.053,1364753.7703024
2021-02-02,285.467,292.543,284.696,290.486,2298945.4103164
2021-02-03,289.06,292.384,288.328,291.207,1002340.4980314
2021-02-04,291.93,294.097,290.228,292.286,1341359.718041
2021-02-05,293.74,294.998,289.1,289.308,1189228.1426246
2021-02-08,291.454,292.039,288.644,290.613,1640774.0778786
2021-02-09,289.525,296.936,288.615,294.157,1338949.4707455
2021-02-10,294.998,294.998,292.801,294.007,875098.64196107
2021-02-11,292.988,294.561,289.654,290.139,1051467.0982529
2021-02-12,289.06,291.95,286.725,287.942,675662.55264333
2021-02-16,287.457,288.684,281.392,281.659,1045432.8900343
2021-02-17,281.529,287.814,278.957,287.764,1081291.5083932
2021-02-18,286.428,289.288,285.706,288.417,742958.47618795
2021-02-19,288.981,289.367,286.893,287.823,1242270.7630851
2021-02-22,285.744,289.98,284.696,288.496,1303159.5722258
2021-02-23,290.95,294.898,286.28,289.218,1294523.1053967
2021-02-24,290.346,294.818,287.497,292.167,1179524.4971188
2021-02-25,291.454,296.769,290.306,292.326,1439692.7547676
2021-02-26,291.623,291.97,283.717,283.776,1188346.9117476
2021-03-01,284.636,289.377,284.636,285.537,1108650.0890151
2021-03-02,285.577,292.384,285.34,290.703,1852432.1926856
2021-03-03,290.426,296.739,289.932,291.02,871966.83635574
2021-03-04,291.376,295.661,287.348,289.465,1470291.2736828
2021-03-05,290.683,294.304,287.18,292.771,1035403.8358789
2021-03-08,295.185,301.785,293.404,297.353,1332011.7987608
2021-03-09,295.611,296.283,289.258,290.248,1340327.9098697
2021-03-10,291.217,293.959,287.882,291.89,1012699.0031797
2021-03-11,291.296,292.939,289.238,291.316,898269.35474555
2021-03-12,294.294,295.096,292.791,293.632,957915.14326841
2021-03-15,295.789,298.431,295.037,297.47,859037.40075889
2021-03-16,297.47,299.123,293.157,297.57,838016.20411593
2021-03-17,298.559,306.724,298.559,302.172,1134698.950352
2021-03-18,301.795,307.05,301.795,306.437,1050729.3705692
2021-03-19,307.04,307.9,300.261,300.301,2062546.132286
2021-03-22,299.707,307.158,299.015,305.724,1220116.6996839
2021-03-23,304.656,308.821,304.656,305.654,1195207.7792063
2021-03-24,306.624,312.69,306.624,307.485,1107854.757937
2021-03-25,308.584,313.303,307.742,312.512,1055895.485527
2021-03-26,312.611,314.451,307.128,310.405,1081448.1492027
2021-03-29,311.067,317.331,311.067,314.411,932968.83111364
2021-03-30,314.322,315.925,312.868,313.957,917824.19129386
2021-03-31,312.928,315.559,311.602,314.897,1039864.5619008
2021-04-01,314.303,316.292,312.631,313.531,879065.19149348
2021-04-05,314.164,322.051,314.164,321.715,1198541.7019853
2021-04-06,319.112,323.328,318.261,322.209,818571.52142726
2021-04-07,323.733,325.227,320.952,324.94,959365.33398918
2021-04-08,323.98,328.235,323.98,327.038,996266.87696393
2021-04-09,327.622,331.451,327.275,330.769,1033747.4856411
2021-04-12,330.819,333.638,328.592,331.48,752789.45551311
2021-04-13,329.808,331.076,328.859,329.452,802832.657117
2021-04-14,330.065,334.103,329.482,332.579,757594.79131607
2021-04-15,332.609,336.299,331.393,335.281,874209.32639712
2021-04-16,337.21,338.427,334.38,337.062,1919151.0716995
2021-04-19,337.626,337.863,333.539,335.331,840161.67791397
2021-04-20,335.478,337.24,333.895,335.815,822535.03920206
2021-04-21,335.795,337.181,334.252,336.192,769530.82100453
2021-04-22,334.826,335.865,332.54,334.143,748310.53894555
2021-04-23,333.698,334.499,330.916,332.797,1041251.0857119
2021-04-26,332.807,333.727,327.463,328.671,917318.89835979
2021-04-27,328.275,331.66,326.939,330.689,758674.09702322
2021-04-28,331.076,331.076,327.473,329.225,784773.48765353
2021-04-29,332.757,344.592,332.372,342.702,1357587.7059114
2021-04-30,344.265,347.234,342.712,344.859,1310664.1828824
2021-05-03,342.524,353.023,342.524,351.242,1070626.7957268
2021-05-04,352.835,358.555,351.726,358.168,1160145.5025115
2021-05-05,358.505,363.156,358.505,362.909,1130458.5320494
2021-05-06,363.898,365.779,358.347,360.049,1102513.8116239
2021-05-07,359.207,362.632,356.348,360.613,986294.41561723
2021-05-10,363.215,368.39,363.215,363.71,734815.17526255
2021-05-11,361.968,363.968,356.091,358.347,981059.58082032
2021-05-12,358.664,361.543,353.31,353.339,1027662.7481291
2021-05-13,353.023,362.68,352.736,360.059,781980.22831402
2021-05-14,360.978,362.819,360.157,361.572,778325.94981487
2021-05-17,362.433,364.551,361.315,362.789,666960.39773287
2021-05-18,361.81,363.621,358.564,358.664,756391.18354712
2021-05-19,358.327,360.978,353.696,360.88,704341.96899498
2021-05-20,361.147,364.175,361.087,361.898,808655.65288917
2021-05-21,362.472,366.827,359.266,360.444,701499.19094793
2021-05-24,362.622,363.858,358.604,362.117,586699.66808603
2021-05-25,362.463,364.255,359.346,359.99,699221.33040118
2021-05-26,359.346,360.336,355.527,356.812,716487.18995816
2021-05-27,360.276,361.217,356.131,360.444,1024886.6687494
2021-05-28,360.82,361.978,357.119,357.496,589209.96338246
2021-06-01,360.771,361.582,356.872,357.249,782118.67857796
2021-06-02,357.249,361.237,356.378,358.802,507428.30200409
2021-06-03,358.614,358.97,356.15,358.119,797690.79621997
2021-06-04,365.273,370.359,364.412,368.865,1350506.5307334
2021-06-07,367.786,369.341,361.791,363.334,1151560.5755618
2021-06-08,363.531,364.343,359.703,362.612,627663.76625066
2021-06-09,362.612,364.432,360.207,364.076,705800.2444027
2021-06-10,366.411,367.054,362.413,363.987,758799.40967087
2021-06-11,365.323,366.955,361.731,366.47,651130.58069449
2021-06-14,363.928,364.551,360.959,363.72,885919.99543701
2021-06-15,366.807,368.727,365.214,366.411,703051.45084138
2021-06-16,369.518,369.518,363.146,363.7,904073.14938622
2021-06-17,364.699,365.333,357.823,360.267,754284.11201208
2021-06-18,357.546,361.771,356.882,358.782,2443014.531677
2021-06-21,361.335,366.016,359.97,364.749,914996.57203482
2021-06-22,365.817,365.817,362.572,364.046,503084.80394287
2021-06-23,364.066,364.066,359.683,361.801,726477.84185049
2021-06-24,363.551,363.551,359.129,361.227,660130.85843606
2021-06-25,360.553,366.817,359.633,364.769,2999277.3745867
2021-06-28,364.838,364.838,359.92,361.741,578222.87382416
2021-06-29,361.344,362.74,351.756,352.063,1178290.5717738
2021-06-30,353.033,356.555,353.033,355.111,628235.75785202
2021-07-01,356.189,359.534,355.071,359.207,459950.97791936
2021-07-02,359.504,362.562,356.952,360.751,345957.90258024
2021-07-06,359.603,360.009,354.447,359.237,617403.28793154
2021-07-07,358.931,363.551,357.426,362.76,558327.46983829
2021-07-08,360.454,363.482,359.514,361.474,412159.36162965
2021-07-09,363.958,364.956,360.93,363.314,365761.3432521
2021-07-12,361.691,363.928,359.86,361.85,461055.54827324
2021-07-13,362.117,365.422,358.881,358.979,723963.50421058
2021-07-14,358.95,360.019,355.298,355.615,1068858.2704575
2021-07-15,354.043,357.347,353.439,355.784,502516.85468498
2021-07-16,357.059,357.604,353.072,354.507,797048.06360784
2021-07-19,353.102,354.023,342.613,346.868,886990.20587136
2021-07-20,347.501,354.437,347.501,351.726,932697.99410098
2021-07-21,352.825,355.001,351.647,353.191,647346.94720421
2021-07-22,352.547,352.785,350.095,351.043,562415.28967488
2021-07-23,352.36,353.429,350.549,353.043,489634.91662394
2021-07-26,349.728,351.222,347.165,350.065,732600.98162548
2021-07-27,350.322,356.704,350.272,353.903,586542.0166906
2021-07-28,355.151,356.635,351.608,351.866,577932.83568
2021-07-29,354.497,361.374,354.497,357.288,1039702.868162
2021-07-30,356.278,358.0,353.913,354.714,660377.44138787
2021-08-02,355.497,358.95,353.439,353.558,405992.76666234
2021-08-03,353.082,357.249,350.45,356.101,681799.84062049
2021-08-04,354.547,355.675,348.352,349.064,656915.17420366
2021-08-05,350.44,351.192,348.827,350.509,359552.3036783
2021-08-06,351.618,354.665,351.618,353.815,369569.23080321
