Date,Open,High,Low,Close,Volume
2020-11-09,62.0172,63.2267,59.5127,61.8924,19972898.254917
2020-11-10,62.9506,64.9029,62.6175,64.6554,15076957.860972
2020-11-11,64.4254,64.4746,62.0172,62.7128,10631242.490052
2020-11-12,61.2773,62.0044,60.6937,61.3845,8699809.8522727
2020-11-13,62.142,63.6964,61.8914,63.4556,7117198.1514356
2020-11-16,64.8087,66.2323,64.4147,65.8639,13432096.545375
2020-11-17,64.7693,66.7845,64.6111,66.0653,11606900.346096
2020-11-18,66.8278,68.4116,66.5064,66.6794,13961210.637596
2020-11-19,65.8541,68.3281,65.4218,68.2141,9308055.2419726
2020-11-20,67.9174,68.2239,66.813,66.9181,6083366.8329964
2020-11-23,67.9361,69.8747,67.4753,69.682,7514848.4421922
2020-11-24,71.0724,72.2523,70.7943,71.3316,11019339.012455
2020-11-25,70.5535,71.1686,69.9297,70.804,5602421.5645306
2020-11-27,70.7659,71.369,70.4003,70.8995,5320071.9352363
2020-11-30,70.1124,70.5535,68.4538,68.7978,11186396.122415
2020-12-01,69.7578,69.9689,68.3094,68.3281,6823701.9501803
2020-12-02,68.2908,69.4001,67.8103,69.01,5630952.5955557
2020-12-03,69.1731,71.3603,68.9805,70.305,7186807.2313034
2020-12-04,70.3905,71.6167,70.3905,70.8995,9692696.4492003
2020-12-07,70.3905,70.7462,69.5945,70.0653,5120259.0480676
2020-12-08,70.2096,71.4752,69.8255,71.4467,4549254.7298278
2020-12-09,71.4368,71.768,70.2951,70.5457,5555611.4582296
2020-12-10,69.9985,70.7362,69.4993,70.0082,7816216.0447943
2020-12-11,69.7017,70.583,69.4128,69.9208,7490978.7789157
2020-12-14,70.41,70.8267,67.83,67.9174,11309897.941369
2020-12-15,68.5894,68.8763,67.2453,68.1463,8473557.4429706
2020-12-16,68.2534,68.276,67.5833,67.6953,5859753.4906313
2020-12-17,68.4814,68.5797,67.6384,67.7631,6014919.0240024
2020-12-18,67.6953,67.8781,66.9672,67.3121,17523468.581667
2020-12-21,65.8923,67.3789,65.0189,66.8326,8706315.411803
2020-12-22,66.6597,67.2542,66.1606,66.4289,4237475.3822328
2020-12-23,66.9476,68.501,66.7551,67.8397,4496039.8228191
2020-12-24,68.0608,68.0608,67.044,67.4084,1833309.8289061
2020-12-28,67.8201,68.5502,67.4771,67.7533,3062742.5192862
2020-12-29,68.1079,68.2043,66.8326,67.4753,3826099.5007652
2020-12-30,67.6285,68.723,67.4753,68.4538,5228494.3787633
2020-12-31,68.4441,68.7791,68.0511,68.5974,4354355.6163469
2021-01-04,68.4715,68.6445,65.5278,65.6438,7985724.9527681
2021-01-05,65.9591,67.034,65.6143,66.5919,6710069.4070018
2021-01-06,65.7106,68.5797,65.6625,67.4173,9125428.3495204
2021-01-07,67.4851,67.9833,66.8513,66.9378,9143819.3790437
2021-01-08,67.1108,67.2257,65.9022,67.0144,5377098.3754805
2021-01-11,65.9886,67.0036,65.7293,66.9575,4763327.5347966
2021-01-12,66.8513,68.7978,66.7374,68.6071,5583636.6596104
2021-01-13,68.3969,68.5403,66.9428,67.6285,7331231.2635351
2021-01-14,68.1079,69.4226,67.6767,68.0511,10124891.749591
2021-01-15,67.4467,67.4654,66.1419,66.3817,7277138.0245684
2021-01-19,66.9378,67.1972,66.3336,66.5349,7695247.4451243
2021-01-20,66.641,66.6981,65.8207,66.0359,4855469.9513352
2021-01-21,65.5475,65.9022,65.0857,65.3363,7688261.5000968
2021-01-22,64.9619,65.3363,64.3871,64.8283,4751587.6053251
2021-01-25,63.3505,63.8103,62.3719,63.5804,10960441.918516
2021-01-26,66.3817,68.0411,64.4529,64.4628,13887824.628534
2021-01-27,63.8398,65.0012,62.592,62.8317,12902447.108298
2021-01-28,63.7338,66.4681,63.5136,65.3932,9124881.8092408
2021-01-29,64.3773,64.8087,63.4173,64.0128,16313473.184138
2021-02-01,64.8479,64.8479,63.437,64.2329,6248436.2461842
2021-02-02,64.9127,67.5519,64.7987,67.2837,9080414.6000046
2021-02-03,66.9181,68.0264,66.5448,67.7052,8725360.8647895
2021-02-04,68.1748,69.8452,67.8486,69.7214,9407407.512033
2021-02-05,70.3629,70.8718,69.0689,69.3853,8290606.9009673
2021-02-08,69.3361,69.7214,68.8862,69.5386,5175024.0125177
2021-02-09,69.3067,70.3502,68.6495,70.0653,6528885.7065733
2021-02-10,69.7959,70.1615,69.2025,69.519,4097088.8272628
2021-02-11,69.519,70.2096,68.2711,69.3853,4728389.6675321
2021-02-12,69.1534,69.855,68.8911,69.6526,4386185.226602
2021-02-16,69.8747,70.2657,69.1043,69.6526,6369948.3328363
2021-02-17,69.346,70.2283,69.1437,70.084,5409369.6961291
2021-02-18,69.519,70.074,69.0876,69.911,5112834.4459442
2021-02-19,70.3905,71.2835,70.1222,71.2354,6542363.9801745
2021-02-22,69.3067,71.2354,69.2773,70.0279,10953043.778305
2021-02-23,70.42,70.9957,69.5759,70.977,12182876.450678
2021-02-24,71.1686,74.9858,70.5261,74.5063,11633095.604416
2021-02-25,73.9896,74.4346,70.4091,70.7669,9825434.4935524
2021-02-26,71.3563,71.3563,69.4826,69.4826,8289380.4930772
2021-03-01,70.9496,72.7161,70.5535,71.771,11304159.777316
2021-03-02,71.7219,72.7928,71.6157,72.0696,6001318.618495
2021-03-03,72.1944,73.7252,72.0529,72.4558,6175784.0463236
2021-03-04,72.4075,73.7969,70.2076,71.8288,8583099.5850612
2021-03-05,72.61,72.9343,70.5535,72.5618,6902305.0271644
2021-03-08,73.459,74.6458,72.9097,72.9765,7493259.5922616
2021-03-09,73.3922,74.0287,72.1473,72.2239,6794906.3000254
2021-03-10,72.7751,74.4621,72.3781,73.8942,7021110.8743309
2021-03-11,73.9041,75.3611,73.5465,74.3668,6542744.6246152
2021-03-12,75.2836,76.1236,74.974,75.7856,6295142.5403651
2021-03-15,76.0362,77.2721,75.6215,76.7986,8152506.2481727
