Date,Open,High,Low,Close,Volume
2021-02-05,152.63,154.034,151.305,152.432,1936800.8490998
2021-02-08,152.61,153.332,150.791,153.224,1299155.9104267
2021-02-09,153.252,156.001,152.066,155.626,1155391.3044937
2021-02-10,156.1,157.435,155.388,156.585,1420235.7998296
2021-02-11,156.031,159.521,156.031,156.891,1679827.0775607
2021-02-12,156.525,158.75,156.229,158.207,1316147.4498492
2021-02-16,158.493,159.561,156.486,156.763,1418107.8117971
2021-02-17,156.427,158.463,155.082,157.88,808429.12649145
2021-02-18,157.425,157.841,155.922,156.673,700555.10198385
2021-02-19,157.663,158.611,157.227,158.167,806319.34367982
2021-02-22,157.841,160.431,157.287,159.729,1486172.0753994
2021-02-23,161.36,161.538,157.909,160.628,1425035.9097165
2021-02-24,160.688,162.142,159.709,161.301,1212400.9534597
2021-02-25,160.935,162.18,158.869,159.521,1181161.8059512
2021-02-26,159.966,160.134,156.803,156.911,1803159.3573382
2021-03-01,158.375,161.786,158.255,160.352,1159796.9679297
2021-03-02,160.006,161.994,159.897,160.945,1204150.9542294
2021-03-03,161.44,162.784,160.777,161.202,990912.19148245
2021-03-04,161.37,161.726,156.575,159.106,1365831.5202416
2021-03-05,160.243,164.584,159.136,163.674,1237754.7576409
2021-03-08,164.88,168.222,163.792,165.76,1401028.2804741
2021-03-09,165.76,166.313,161.618,161.964,1923658.7024775
2021-03-10,162.764,165.879,161.834,165.493,1125171.6493505
2021-03-11,164.406,167.441,163.555,165.741,1175054.9657706
2021-03-12,167.105,169.517,167.105,169.201,1046425.9781387
2021-03-15,169.408,169.913,166.947,169.616,1077775.3683732
2021-03-16,169.082,169.191,166.828,168.271,1135620.4346942
2021-03-17,169.508,171.624,168.113,170.388,1247314.5213684
2021-03-18,170.388,173.116,170.388,172.028,1342768.539679
2021-03-19,171.11,171.742,167.925,170.476,2874576.0466429
2021-03-22,170.388,170.388,166.541,169.468,1085207.1440683
2021-03-23,168.815,169.883,167.323,167.847,895084.96614519
2021-03-24,169.221,172.187,169.221,169.33,959118.79614036
2021-03-25,168.746,173.027,168.687,172.83,1057917.5180743
2021-03-26,172.77,174.54,171.831,174.243,1119160.8922797
2021-03-29,174.521,176.646,172.79,175.935,1783095.1812035
2021-03-30,175.973,176.953,174.501,174.797,826596.92545853
2021-03-31,174.026,175.045,173.403,174.263,1096753.2996663
2021-04-01,174.333,174.431,172.622,173.561,886630.66388132
2021-04-05,174.896,178.198,174.699,178.129,1238998.7810629
2021-04-06,176.992,178.238,176.992,177.674,969455.31595573
2021-04-07,178.109,178.524,176.132,177.368,1026120.0771275
2021-04-08,176.547,178.317,175.885,177.862,918616.22544307
2021-04-09,175.657,177.556,174.747,176.785,1302436.8957772
2021-04-12,177.219,178.91,176.745,178.653,1172560.8505197
2021-04-13,176.963,177.694,175.825,176.093,1280747.3979846
2021-04-14,176.527,178.742,176.251,177.249,852911.56073801
2021-04-15,177.753,178.04,176.241,177.684,955329.07600845
2021-04-16,178.93,178.95,177.041,178.208,1468150.9296
2021-04-19,178.178,178.624,176.577,178.515,1197299.7227979
2021-04-20,178.446,179.562,177.141,177.823,1247238.6662816
2021-04-21,177.397,179.562,177.002,179.543,894273.82241799
2021-04-22,179.148,179.77,178.01,178.238,856880.29887456
2021-04-23,178.643,180.63,178.129,180.146,823319.98571276
2021-04-26,181.144,182.044,178.762,178.9,1209868.4049648
2021-04-27,178.752,180.66,177.941,179.572,1239171.7306606
2021-04-28,182.44,182.588,178.772,178.97,1461723.4752529
2021-04-29,181.728,184.961,181.362,184.229,1412049.5188721
2021-04-30,183.617,184.635,182.371,183.765,1544835.3652556
2021-05-03,184.507,186.197,182.954,185.179,862780.81321926
2021-05-04,185.139,186.247,185.079,185.475,1445096.0402466
2021-05-05,185.119,185.387,183.825,184.2,1137400.5007289
2021-05-06,185.209,186.207,184.19,186.138,1307620.3267021
2021-05-07,186.454,188.718,185.811,188.204,1415811.9311728
2021-05-10,188.846,190.795,187.828,187.996,1039963.1247511
2021-05-11,187.225,187.72,183.3,185.041,1130028.3977021
2021-05-12,185.485,185.861,180.354,180.532,1791328.9980152
2021-05-13,181.372,185.545,180.462,184.803,1085617.7729376
2021-05-14,185.199,186.157,184.161,185.426,922110.61643741
2021-05-17,184.615,185.733,183.181,185.139,1000797.6263822
2021-05-18,185.229,185.297,182.895,182.925,903198.42621944
2021-05-19,181.392,182.173,179.019,182.114,959697.31760166
2021-05-20,182.43,183.31,181.708,182.638,829019.2312274
2021-05-21,183.271,185.031,182.035,183.429,1699167.0904677
2021-05-24,184.229,184.249,182.529,183.171,922489.89187094
2021-05-25,182.934,184.219,182.292,182.499,654058.96803548
2021-05-26,183.241,183.409,181.313,182.608,734246.89729594
2021-05-27,184.407,185.061,183.369,184.19,1197701.249057
2021-05-28,184.527,185.159,183.201,183.459,739023.74495622
2021-06-01,184.763,185.001,182.915,183.112,841772.99980585
2021-06-02,183.745,185.119,182.825,185.041,1184061.4930657
2021-06-03,184.901,185.495,183.646,184.329,916444.74716092
2021-06-04,185.001,187.255,184.545,186.998,1165753.1093379
2021-06-07,187.334,187.67,184.161,185.257,1054641.5897297
2021-06-08,185.267,186.82,184.733,186.177,1039961.1019488
2021-06-09,186.098,186.81,184.763,185.357,901148.31607602
2021-06-10,186.444,186.968,184.723,184.981,817832.12303974
2021-06-11,185.733,185.733,184.229,184.991,1434128.4061098
2021-06-14,184.517,184.911,183.013,184.359,1206729.0157763
2021-06-15,184.883,186.474,184.803,185.911,968769.5859719
2021-06-16,185.772,185.921,183.547,183.627,777196.04738984
2021-06-17,184.181,184.635,180.028,181.313,947764.80676195
2021-06-18,178.96,180.374,178.268,178.861,2658109.9028069
2021-06-21,180.442,184.407,180.384,184.299,1280902.1423614
2021-06-22,183.844,184.249,182.657,183.152,1002125.5961002
2021-06-23,183.537,183.537,180.432,180.462,1053761.6707238
2021-06-24,181.649,181.906,179.918,181.718,838868.25568553
2021-06-25,181.422,183.617,181.422,183.359,879025.93858859
2021-06-28,183.607,183.725,181.857,182.46,1200148.8398547
2021-06-29,183.34,184.131,180.156,180.354,1101597.911204
2021-06-30,180.216,182.183,180.176,181.866,1140960.6327984
2021-07-01,182.598,183.825,182.064,182.825,920042.30107318
2021-07-02,183.023,184.289,182.153,183.29,637450.74965112
2021-07-06,182.588,182.816,179.177,181.708,862414.68600076
2021-07-07,180.72,184.981,180.72,184.517,1201908.6778663
2021-07-08,182.608,184.141,181.6,182.796,989802.68441421
2021-07-09,184.863,185.921,183.34,184.931,1108128.528469
2021-07-12,184.239,185.238,183.142,184.061,801384.7174392
2021-07-13,184.101,185.001,183.409,183.488,864458.72773724
2021-07-14,183.715,184.843,183.073,184.19,728424.26084025
2021-07-15,182.776,184.565,182.361,184.081,946658.33389718
2021-07-16,184.991,185.327,183.3,184.012,1087571.7999712
2021-07-19,181.965,182.42,177.585,178.97,1191345.604192
2021-07-20,179.998,185.327,179.918,184.733,1059067.4811887
2021-07-21,185.683,187.057,185.297,186.306,719015.19588503
2021-07-22,185.881,185.881,184.527,185.267,539863.68630223
2021-07-23,186.345,186.84,185.337,186.523,468577.09861664
2021-07-26,185.93,187.235,185.93,186.583,730561.3514831
2021-07-27,186.286,190.152,185.495,188.659,1294897.9115596
2021-07-28,192.881,194.393,188.64,190.073,1303902.4160523
2021-07-29,191.823,193.375,190.014,192.633,1180686.4474078
2021-07-30,192.307,192.327,189.52,190.587,933505.06186206
2021-08-02,191.329,193.277,190.142,190.39,1068095.2479081
2021-08-03,191.042,191.922,187.986,191.833,759721.0582147
2021-08-04,190.36,191.764,189.47,190.429,627820.18784271
2021-08-05,190.083,192.317,190.083,191.22,602360.18654013
2021-08-06,192.633,193.909,191.961,193.543,901673.23327604
2021-08-09,192.881,193.059,191.329,191.754,717900.63181101
2021-08-10,191.507,193.603,191.23,193.485,613835.54405728
2021-08-11,193.889,195.155,193.039,195.105,760543.32735461
2021-08-12,195.195,195.56,192.841,193.633,541137.04035776
2021-08-13,193.929,194.067,192.495,192.851,673831.8606373
2021-08-16,192.673,194.957,190.864,194.878,647080.30005837
2021-08-17,193.939,194.878,192.397,193.781,786735.5830942
2021-08-18,193.355,193.889,191.082,191.329,1033670.1867579
2021-08-19,190.073,191.853,188.698,190.053,759171.86738694
